Date,FL - Max Air Temp (F),FL - Min Air Temp (F),FL - Avg Air Temp (F),FL - Avg Humidity (%),FL - Precip (in),FL - Precip Cover (%),FL - Wind Speed (mph),FL - Sea Level Pressure,FL - UV Index
2010-01-01,68.60000000000001,49.333333333333336,60.46666666666667,89.66666666666667,0.226,13.886666666666665,15.6,1017.15,3.3333333333333335
2010-01-02,59.23333333333333,38.666666666666664,48.03333333333333,70.3,0.007666666666666666,1.39,15.433333333333332,1021.25,7.0
2010-01-03,47.56666666666666,36.766666666666666,42.300000000000004,66.5,0.0,0.0,10.633333333333333,1020.95,3.0
2010-01-04,53.86666666666667,32.166666666666664,41.96666666666667,56.666666666666664,0.0,0.0,12.566666666666668,1020.55,7.0
2010-01-05,50.4,31.96666666666667,40.73333333333333,56.86666666666667,0.0003333333333333333,1.39,15.766666666666667,1022.75,6.666666666666667
2010-01-06,52.26666666666667,28.599999999999998,39.6,60.46666666666667,0.0,0.0,12.233333333333334,1024.1999999999998,7.0
2010-01-07,61.199999999999996,29.599999999999998,43.43333333333334,59.23333333333333,0.005666666666666667,1.39,7.633333333333333,1022.85,7.0
2010-01-08,66.63333333333334,36.36666666666667,51.1,76.36666666666667,0.005,2.776666666666667,12.266666666666666,1019.1,6.0
2010-01-09,46.23333333333333,31.766666666666666,37.96666666666667,83.63333333333333,0.08533333333333333,18.05666666666667,13.766666666666667,1022.65,3.0
2010-01-10,46.199999999999996,28.866666666666664,35.733333333333334,60.0,0.0,0.0,16.133333333333336,1028.3,6.0
2010-01-11,55.333333333333336,26.633333333333336,38.733333333333334,56.86666666666667,0.0,0.0,10.066666666666668,1030.4,7.333333333333333
2010-01-12,60.6,30.53333333333333,44.76666666666667,68.0,0.0,0.0,13.9,1027.4,7.0
2010-01-13,60.699999999999996,34.46666666666667,46.86666666666667,67.7,0.0,0.0,8.366666666666667,1026.8,7.0
2010-01-14,70.43333333333334,40.300000000000004,54.63333333333333,64.76666666666667,0.0,0.0,8.799999999999999,1024.55,6.666666666666667
2010-01-15,75.43333333333334,49.03333333333333,62.03333333333333,73.60000000000001,0.0,0.0,11.700000000000001,1022.1,7.0
2010-01-16,77.93333333333334,60.699999999999996,68.66666666666667,76.23333333333333,0.026333333333333334,4.166666666666667,18.633333333333336,1017.4000000000001,6.666666666666667
2010-01-17,74.89999999999999,60.26666666666667,68.46666666666667,75.5,0.043666666666666666,5.553333333333334,19.8,1014.25,6.0
2010-01-18,69.23333333333333,51.6,59.06666666666666,74.03333333333333,0.0,0.0,13.5,1018.35,6.333333333333333
2010-01-19,68.7,47.03333333333333,56.666666666666664,74.26666666666667,0.0,0.0,7.733333333333333,1019.35,7.0
2010-01-20,74.63333333333334,47.06666666666666,59.86666666666667,69.26666666666667,0.0023333333333333335,1.39,7.466666666666666,1016.95,7.0
